ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
403	12	0	0	7.4	0	0	2
405	3.5	0	0.2	0.47	0	0	2
406	3.5	0	0.2	0.47	0	0	2
407	3.5	0	0.2	0.5	0	0	2
408	11	0	0.2	6.8	0	0	2
409	11	0	0.2	6.8	0	0	2
410	11	0	0.2	6.8	0	0	2
412	22	0	0.2	0	40	0	1
413	0	0	0	0	0	0	3
414	22	0	0.2	0	40	0	1
415	22	0	0.2	0	25	0	1
416	22	0	0.2	0	25	0	1
417	22	0	0.2	0	25	0	1
418	0	0	0	0	0	0	3
419	2.8	0	0.2	0	16	160	2
420	0	0	0	0	0	0	3
422	2.8	0	0.2	2.44	16	160	2
423	2.8	0	0.2	2.44	16	160	2
424	2.8	0	0.2	2.44	16	160	2
425	0	0	0	0	0	0	3
426	20	0.305	0.2	15	0	135	2
427	48	0.25	0.2	42.336	160	40	3
428	48	0.25	0.2	42.456	160	40	3
429	55	0.25	0.2	48.186	160	40	3
430	55	0.25	0.2	47.622	160	40	3
440	9.5	0	0.2	7	40	0	2
441	3	0	0.2	1.95	10	0	2
451	35.2	0.26	0.2	33	64	0	3
452	35.2	0.26	0.2	33	64	0	3
453	0	0	0	0	0	0	3
454	0	0	0	0	0	0	3
455	35.2	0.26	0.2	32	64	0	3
456	33.5	0.26	0	30	64	0	3
457	5.15	0.26	0.2	2.6	40	0	3
458	5	0	0.2	2.18	0	0	2
459	2.5	0.26	0.2	2	0	0	3
460	0.5	0.265	0.2	0.3	16	0	3
461	2.51	0.265	0.2	2	40	0	3
462	0.5	0.265	0.2	0.126	16	0	2
463	0.5	0.265	0.2	0.126	16	0	2
467	22	0	0.2	0	40	92	1
472	13	0	0.2	0	40	125	1
473	13	0	0.2	10.7	40	64	2
474	13	0	0.2	0	40	0	1
476	25	0	0.2	0	63	0	2
477	5	0	0.2	0	25	0	1
479	0	0	0	0	0	0	3
480	0	0	0	0	0	0	3
481	0	0	0	0	0	0	3
482	29	0	0.2	0	100	0	1
483	0	0	0	0	0	0	3
484	0	0	0	0	0	0	3
485	0	0	0	0	0	0	3
486	0	0	0	0	0	0	3
487	9.5	0	0.2	7	40	0	2
488	9.5	0	0.2	7	40	0	2
489	9.5	0	0.2	6.8	40	0	2
490	0	0	0	0	0	0	3
491	9.5	0	0.2	6.8	40	0	2
492	3	0	0.2	1.8	10	0	2
493	14	0	0.2	7	40	0	2
495	14	0	0.2	7.5	40	0	2
496	0	0	0	0	0	0	3
497	14	0	0.2	0	40	0	1
498	14	0	0.2	0	40	0	1
499	0	0	0	0	0	0	3
500	5	0	0	2	40	0	2
502	5	0	0.2	2	40	0	2
503	3.5	0	0.2	1.95	40	0	2
504	0	0	0	0	0	0	3
505	3.5	0	0.2	1.9	40	0	2
506	0	0	0	0	0	0	3
507	3.5	0	0.2	1.9	40	0	2
508	0	0	0	0	0	0	3
509	3.5	0	0.2	1.9	40	0	2
510	0	0	0	0	0	0	3
511	0	0	0	0	0	0	3
514	8	0	0.2	7.5	40	0	2
515	5	0	0.2	2.5	40	0	2
516	3.5	0	0.2	0	40	0	2
519	3.2	0	0.2	-0.6	40	0	2
520	3.2	0	0.2	0.4	40	0	2
522	3.3	0	0.2	0.4	40	0	2
523	3.5	0	0.2	2.2	40	0	2
524	10	0	0.2	2.5	40	0	2
527	58	0	0.2	45.3	160	0	2
528	58	0	0.2	44.3	160	0	2
529	58	0	0.2	44.3	160	0	2
530	43	0	0.2	39.1	160	0	2
534	43	0	0.2	39.1	160	0	2
537	43	0	0.2	38.5	160	0	2
538	43	0	0.2	38.5	160	0	2
539	13	0	0.2	7.5	40	0	2
540	13	0	0.2	4.5	40	0	2
542	13	0	0.2	4.5	40	0	2
543	14	0	0.2	0	40	0	2
544	4	0	0.2	1.8	40	0	2
545	59.18	0	0	43.8	160	0	2
546	59.18	0	0.2	43.8	160	0	2
547	59	0	0.2	43.8	160	0	2
548	3.5	0	0.2	2.2	40	0	2
549	3.5	0	0.2	2	40	0	2
550	3.5	0	0.2	2	40	0	2
551	10	0	0.2	4.4	40	0	2
552	3.5	0	0.2	2	40	0	2
554	10	0	0.2	4.4	40	0	2
556	16	0	0.2	8	40	0	2
557	16	0	0.2	8	40	0	2
558	0	0	0	0	0	0	3
559	0	0	0	0	0	0	3
560	0	0	0	0	0	0	3
561	0	0	0	0	0	0	3
562	0	0	0	0	0	0	3
563	0	0	0	0	0	0	3
564	0	0	0	0	0	0	3
565	0	0	0	0	0	0	3
566	0	0	0	0	0	0	3
567	0	0	0	0	0	0	3
568	0	0	0	0	0	0	3
569	0	0	0	0	0	0	3
570	48	0	0	0	0	16	1
571	48	0	0	0	0	16	1
572	10	0.255	0.2	0	0	0	1
573	6	0	0.2	1.5	0	18	2
574	12.5	0	0.2	0	0	15	2
575	12.5	0	0.2	0	0	15	2
576	6	0	0.2	4.5	0	23	2
577	0	0	0	0	0	0	3
578	22	0	0.2	0	40	92	1
579	22	0	0	0	40	92	1
580	0	0	0	0	0	0	3
581	0	0	0	0	0	0	3
582	22	0	0.2	0	40	92	1
583	13	0	0.2	0	40	125	1
584	13	0	0.2	2	40	0	2
585	0	0	0	0	0	0	3
588	183	0	0	142	200	98	2
589	181	0	0.2	142	200	98	2
590	181	0	0.2	142	200	20	2
591	181	0	0	142	200	20	2
592	181	0	0.2	142	200	20	2
593	181	0	0.2	142	200	98	2
594	0	0	0	0	0	0	3
595	10	0	0.2	8	16	0	2
596	181	0	0.2	142	200	98	2
597	181	0	0.2	142	200	98	2
598	0	0	0	0	0	0	3
599	10	0	0	4.7	16	0	2
600	170	0	0.2	133	200	20	2
601	181	0	0.2	133	200	20	2
602	181	0	0	132	200	20	2
603	49	0	0.2	25.6	200	20	2
604	48	0	0.2	24.3	200	20	2
605	48	0	0.2	24.6	200	20	2
606	51	0	0.2	25.7	200	98	2
607	52	0	0.2	26.5	200	85	2
608	0	0	0	0	0	0	3
609	0	0	0	0	0	0	3
610	0	0	0	0	0	0	3
611	0	0	0.2	3.5	16	0	2
612	0	0	0	0	0	0	3
613	0	0	0	0	0	0	3
614	0	0	0	0	0	0	3
615	0	0	0	0	0	0	3
616	0	0	0	0	0	0	3
617	0	0	0	0	0	0	3
618	0	0	0	0	0	0	3
619	0	0	0	0	0	0	3
620	2.2	0	0.2	0	10	0	1
621	0	0	0	0	0	0	3
622	90	0	0.2	60	100	0	2
623	12	0.119	0.2	0	16	0	2
624	0	0	0	0	0	0	3
625	12	0	0.2	10	16	0	2
626	73	0	0	27	16	12	2
627	0	0	0	0	0	0	3
628	7.3	0	0	0	16	12	1
629	0	0	0	0	0	0	3
630	7.3	0	0	2.7	16	12	2
631	7.8	0	0	2.6	16	46	2
632	0	0	0	0	0	0	3
633	7.8	0	0	2.6	16	46	2
634	0	0	0	0	0	0	3
635	7.8	0	0	2.6	0	46	1
636	1	0	0	0	16	23	1
637	58	0	0.2	44.2	160	40	2
638	0	0	0	0	0	0	3
639	0	0	0	0	0	0	3
640	0	0	0	0	0	0	3
641	0	0	0	0	0	0	3
642	58	0	0.2	44.2	160	40	2
643	58	0	0.2	44.2	160	40	2
644	0	0	0	0	0	0	3
645	0	0	0	0	0	0	3
646	43	0	0.2	39.5	160	0	2
647	43	0	0.2	39.8	160	0	2
648	5	0	0.2	2.13	40	0	2
649	0	0	0	0	0	0	3
650	0	0	0	0	0	0	3
651	5	0	0.2	2.13	40	0	2
652	5	0	0.2	2.13	40	0	2
653	0	0	0	0	0	0	3
654	0	0	0	0	0	0	3
655	5	0	0.2	2.13	40	0	2
656	0	0	0	0	0	0	3
657	0	0	0	0	0	0	3
658	0	0	0	0	0	0	3
659	0	0	0	0	0	0	3
660	0	0	0	0	0	0	3
661	5	0	0.2	2.13	40	0	2
662	5	0	0	4.8	40	0	2
663	0	0	0	0	0	0	3
664	5	0	0	4.8	0	0	2
665	3.5	0	0.2	1.75	40	0	2
666	3.5	0	0.2	1.75	40	0	2
667	14	0	0.2	7.5	40	0	2
668	14	0	0.2	7	40	0	2
669	5	0	0.2	2.5	40	0	2
670	10	0	0.2	2.4	40	0	2
671	0	0	0	0	0	0	3
672	0	0	0	0	0	0	3
673	0	0	0	0	0	0	3
674	10	0	0.2	2.5	40	23	2
675	8	0	0.2	7.5	40	0	2
676	13	0	0.2	4.5	40	0	2
